fy, 69, 177
tb, 55, 185
wr, 94, 192
lo, 94, 182
sj, 87, 164
vj, 62, 199
fi, 40, 197
ht, 71, 173
ay, 93, 140
bg, 93, 182
fp, 75, 182
sy, 64, 143
kd, 64, 162
qb, 92, 187
tp, 49, 161
wp, 74, 160
wp, 77, 188
am, 79, 199
fp, 59, 156
ey, 48, 157
vl, 82, 185
qi, 88, 189
ue, 56, 158
lc, 41, 194
dz, 47, 145
td, 95, 178
bd, 52, 179
xo, 51, 172
bh, 63, 174
zg, 78, 148
fh, 62, 157
ny, 59, 160
kl, 85, 178
id, 56, 177
rd, 70, 198
wl, 85, 173
wz, 48, 177
im, 48, 194
gl, 73, 182
bg, 47, 182
wq, 89, 167
wj, 89, 151
jo, 40, 197
hk, 83, 175
bf, 73, 166
el, 56, 170
hg, 80, 170
ik, 61, 155
ou, 47, 165
xa, 97, 153
qb, 82, 160
jx, 97, 182
ck, 95, 194
ip, 53, 156
wb, 93, 140
iv, 67, 166
xs, 71, 149
up, 68, 170
mg, 60, 142
gc, 42, 140
ws, 81, 160
dz, 43, 187
ge, 49, 195
lc, 42, 160
hz, 54, 186
pu, 41, 191
ch, 81, 163
rl, 42, 158
fm, 83, 183
oc, 61, 188
kw, 84, 184
mq, 94, 184
jc, 49, 174
vm, 98, 187
ub, 55, 171
kd, 51, 142
ni, 41, 185
bk, 95, 161
zb, 54, 150
df, 43, 195
qy, 66, 196
gk, 81, 143
ox, 85, 194
gq, 45, 168
jn, 71, 144
po, 65, 165
yk, 81, 178
wh, 74, 153
jo, 70, 152
uo, 81, 173
wr, 94, 191
tm, 59, 151
pe, 41, 158
ae, 87, 185
xa, 45, 153
fx, 85, 146
ij, 46, 163
rm, 97, 142
pg, 61, 143
nc, 96, 197
kt, 66, 157
va, 60, 181
cx, 41, 157
bj, 93, 197
fv, 55, 142
gu, 78, 141
dx, 46, 141
yo, 51, 185
mu, 97, 140
ms, 52, 153
ho, 71, 175
ww, 85, 188
mq, 70, 166
dj, 82, 158
ov, 74, 197
ok, 54, 162
cw, 40, 199
az, 85, 161
pl, 81, 186
ot, 82, 163
ep, 81, 142
jn, 42, 155
cu, 97, 193
xn, 62, 176
vn, 42, 160
xu, 71, 166
ht, 77, 144
tp, 74, 143
vv, 44, 166
us, 68, 154
ok, 92, 195
oh, 97, 185
uh, 62, 142
ce, 53, 189
wp, 70, 179
gr, 54, 193
zl, 97, 176
sd, 57, 180
pj, 40, 173
xt, 75, 196
tm, 77, 187
xb, 59, 192
kp, 45, 176
qc, 78, 169
mi, 57, 161
np, 43, 182
at, 67, 142
wt, 40, 154
er, 51, 174
dz, 52, 197
rd, 68, 146
tu, 93, 168
ri, 67, 160
kk, 57, 166
oe, 81, 144
xc, 55, 162
sy, 99, 142
bt, 97, 179
zl, 71, 185
ce, 49, 182
md, 91, 166
xo, 99, 186
zu, 63, 174
hn, 82, 151
fy, 53, 167
dv, 85, 197
kw, 65, 155
gx, 48, 159
yo, 78, 141
fa, 88, 172
db, 84, 151
pi, 73, 166
hy, 60, 191
de, 61, 160
wu, 67, 170
tt, 84, 188
xi, 46, 189
au, 56, 164
fj, 92, 191
og, 50, 151
dd, 43, 140
lc, 88, 153
sv, 80, 140
jz, 65, 196
mz, 41, 143
qt, 46, 153
xd, 98, 173
xh, 65, 180
zq, 92, 181
hu, 58, 189
vb, 63, 141
lg, 84, 152
sd, 84, 197
bi, 85, 198
ln, 43, 152
ti, 93, 199
aj, 93, 140
mj, 84, 176
av, 79, 146
wr, 64, 169
xz, 57, 187
lj, 51, 180
et, 40, 143
nw, 60, 153
tn, 75, 198
hz, 69, 184
kh, 64, 182
mp, 87, 191
ac, 54, 163
fg, 94, 152
ig, 54, 176
ir, 49, 196
zm, 66, 165
by, 53, 157
ta, 71, 169
gb, 64, 159
ry, 56, 189
lz, 96, 142
am, 89, 194
wh, 78, 171
ij, 80, 151
vn, 97, 197
bm, 43, 192
ih, 47, 173
gj, 65, 146
wz, 51, 158
fj, 46, 158
nk, 42, 197
ap, 43, 149
jy, 83, 184
ak, 47, 195
fs, 99, 194
sb, 51, 180
an, 78, 164
fm, 73, 175
re, 43, 183
oo, 99, 158
bw, 64, 195
ny, 77, 145
uj, 71, 174
ll, 95, 145
ev, 70, 199
ed, 51, 146
hz, 83, 187
sh, 68, 166
gm, 77, 168
qd, 72, 184
bf, 40, 159
pn, 92, 147
uu, 54, 169
nk, 41, 191
nz, 40, 153
jh, 66, 178
zz, 97, 173
yf, 50, 175
ey, 67, 143
gz, 81, 178
ou, 91, 140
pb, 53, 195
fo, 53, 146
of, 52, 161
xp, 49, 143
yn, 84, 188
mz, 64, 184
cv, 43, 196
bv, 55, 194
ki, 82, 162
nm, 90, 143
dy, 56, 173
wu, 63, 153
zg, 52, 147
yg, 82, 191
yb, 55, 158
gj, 92, 189
gk, 51, 142
yo, 78, 173
gc, 84, 169
xv, 50, 159
mv, 79, 153
nv, 66, 189
xm, 69, 172
dd, 55, 165
fg, 43, 190
tt, 74, 175
dy, 56, 141
mu, 42, 155
zy, 97, 154
vy, 79, 166
nh, 98, 170
us, 41, 191
wz, 98, 149
qs, 64, 146
ma, 45, 195
ou, 45, 147
bk, 85, 153
th, 59, 170
hu, 51, 140
dq, 55, 141
fg, 99, 150
xf, 83, 183
xi, 52, 165
dv, 98, 167
fx, 90, 157
sy, 74, 197
rc, 90, 164
ik, 48, 166
at, 79, 170
eq, 58, 145
jc, 87, 192
th, 86, 191
ku, 61, 174
ua, 73, 150
ep, 88, 162
bd, 49, 186
gp, 48, 141
vn, 53, 160
ng, 43, 149
co, 96, 154
mv, 53, 153
xl, 83, 184
om, 51, 196
mf, 64, 175
km, 67, 158
gp, 81, 159
he, 84, 178
od, 54, 192
pc, 68, 162
pt, 60, 143
id, 93, 140
re, 94, 185
of, 61, 188
jq, 48, 152
ya, 66, 172
su, 68, 197
ra, 98, 175
bo, 94, 162
qt, 72, 146
rs, 82, 165
cd, 86, 177
fi, 52, 194
qi, 97, 158
qg, 45, 140
uq, 46, 142
cu, 92, 149
fo, 94, 168
bi, 68, 176
nu, 54, 184
mx, 46, 148
se, 64, 164
jv, 61, 191
vk, 54, 170
vu, 42, 165
bt, 96, 176
fp, 52, 141
jt, 78, 195
ot, 93, 144
uz, 87, 141
ma, 65, 188
it, 52, 185
kd, 82, 163
sa, 69, 164
ck, 82, 171
eg, 50, 188
gn, 84, 151
ko, 55, 171
tf, 44, 159
nh, 87, 178
wb, 95, 143
mj, 88, 156
wh, 64, 140
rn, 54, 174
vl, 46, 189
ms, 85, 196
ml, 64, 193
gm, 79, 198
qk, 52, 173
xq, 71, 153
rz, 91, 164
yj, 79, 177
pp, 54, 166
uc, 43, 189
tb, 60, 141
ap, 93, 140
an, 91, 187
st, 96, 187
tw, 83, 172
sj, 59, 140
oh, 99, 140
nx, 79, 168
ur, 50, 168
fm, 52, 167
ui, 91, 186
zu, 90, 156
wq, 67, 155
ky, 87, 199
uy, 70, 140
vv, 54, 145
fm, 85, 190
mb, 81, 195
ws, 65, 175
ku, 86, 184
bs, 75, 192
ps, 98, 168
ik, 61, 182
oy, 97, 186
vu, 61, 144
yo, 74, 197
fm, 77, 176
ho, 57, 152
ov, 55, 184
sn, 89, 164
yo, 72, 179
ll, 49, 145
kb, 77, 165
xf, 51, 171
yp, 93, 193
cc, 95, 150
qo, 81, 177
ef, 67, 142
da, 81, 180
qq, 52, 140
so, 93, 149
gb, 53, 144
js, 49, 174
jq, 59, 185
yy, 42, 164
un, 82, 181
it, 92, 197
bb, 81, 160
uw, 78, 191
fm, 50, 157
ww, 91, 150
hp, 67, 167
bv, 53, 181
mt, 61, 161
ja, 48, 196
gi, 98, 163
uh, 51, 187
pg, 82, 181
dx, 81, 169
gl, 47, 198
ms, 40, 155
rh, 47, 195
ua, 97, 169
lj, 51, 159
su, 70, 152
wm, 75, 163
ap, 53, 182
fr, 86, 183
cw, 65, 180
un, 57, 184
kb, 88, 146
tv, 95, 147
vi, 62, 172
iy, 40, 150
lf, 77, 181
zl, 44, 198
nd, 43, 143
qy, 93, 140
pg, 99, 183
gz, 92, 195
al, 63, 163
lr, 82, 167
bg, 51, 182
ru, 57, 164
sp, 94, 170
oy, 81, 185
kr, 46, 189
dn, 61, 144
pf, 95, 159
dm, 69, 188
lf, 55, 191
rc, 76, 193
ap, 53, 177
vp, 44, 188
jy, 52, 178
ku, 92, 162
ef, 51, 199
vd, 78, 147
rt, 44, 181
ke, 77, 162
lr, 64, 162
al, 40, 171
uq, 92, 147
pa, 99, 198
qs, 78, 163
hs, 47, 167
zm, 99, 154
qx, 99, 174
oo, 67, 182
ed, 91, 156
ki, 43, 174
bf, 42, 164
oy, 60, 179
vx, 77, 178
he, 62, 197
tx, 90, 171
wx, 74, 194
ou, 55, 190
io, 77, 184
xv, 99, 168
lt, 57, 143
ho, 65, 191
te, 76, 190
um, 53, 179
wa, 62, 149
ld, 72, 184
io, 90, 181
ry, 62, 190
fc, 47, 173
ai, 92, 150
tq, 96, 154
kv, 79, 194
oq, 73, 171
dc, 48, 198
fb, 50, 189
kd, 90, 170
pa, 98, 143
zc, 83, 140
ht, 96, 184
ug, 92, 175
fs, 46, 147
wk, 67, 186
de, 90, 158
iz, 63, 195
nb, 63, 195
bj, 66, 174
or, 43, 175
nb, 61, 184
rs, 74, 178
rf, 99, 167
ws, 60, 170
so, 53, 140
uf, 80, 156
us, 70, 182
xy, 67, 196
sn, 51, 196
jr, 49, 144
fp, 65, 196
jx, 81, 159
xg, 89, 192
hn, 59, 172
nm, 52, 183
ev, 67, 182
bf, 59, 172
sl, 53, 165
ou, 62, 160
qa, 66, 183
uy, 83, 144
ik, 79, 166
hx, 47, 173
zr, 75, 162
zo, 99, 196
ba, 59, 148
ns, 95, 199
es, 80, 187
ts, 98, 181
jl, 59, 151
ue, 87, 144
oo, 94, 164
sh, 53, 159
cq, 58, 163
dg, 48, 186
xi, 91, 150
kq, 56, 168
cu, 57, 144
kd, 46, 141
il, 41, 183
kj, 43, 175
qd, 53, 182
sy, 61, 179
ag, 60, 163
de, 95, 152
bq, 80, 155
iq, 57, 178
cg, 69, 167
in, 47, 166
qi, 42, 197
oi, 73, 198
fo, 53, 144
gr, 54, 186
qx, 70, 191
by, 56, 174
co, 50, 173
el, 49, 183
wu, 46, 193
cf, 45, 168
ch, 50, 186
ak, 40, 169
nl, 72, 183
xp, 51, 163
wk, 75, 153
su, 67, 144
cq, 67, 179
wh, 90, 190
nm, 88, 165
uh, 67, 148
of, 43, 142
qw, 46, 199
hp, 63, 193
dp, 42, 189
ul, 70, 186
ea, 89, 141
vr, 63, 159
ag, 52, 151
kv, 85, 177
wa, 53, 188
jo, 75, 152
ds, 46, 173
lh, 71, 195
bm, 82, 157
yw, 95, 165
lf, 74, 175
nk, 89, 161
te, 40, 185
jr, 89, 158
al, 74, 181
hk, 81, 157
ee, 49, 177
oe, 44, 189
qg, 51, 179
ap, 72, 158
